account_id,user_id,account_type,currency
7d9afb6a-de09-46f2-bf50-7ad9d424f99d,63cdeba9-2f87-4ebc-be4d-4c96a5d92b91,savings,USD
210c51a1-3330-42dc-8aa8-cf957a41a551,126fd3db-8384-485e-b0ce-368a5b8589bf,savings,JPY
ca4c7583-3a2e-4b8c-96c3-8ccf6bd1c5cb,a072b477-2d10-4d93-b0da-c28deb3870e7,investment,JPY
b61a2bd6-edbe-4991-8998-beae54550502,3d3c2b31-df2d-4ef6-8444-cb40da011b4f,investment,JPY
071932c9-a4a9-4610-ab1f-c9bd662c40df,3d3c2b31-df2d-4ef6-8444-cb40da011b4f,investment,EUR
e03b360b-9f12-4332-a822-7ecaeb576a11,3d3c2b31-df2d-4ef6-8444-cb40da011b4f,investment,USD
b1db1381-d648-4c9b-8a95-1e6c30fd0f6f,b0308079-6891-43e2-8363-81ef193281b9,savings,GBP
a00506ee-70b5-46e7-b8e3-f507e7635c36,b0308079-6891-43e2-8363-81ef193281b9,checking,GBP
3a1ca0ef-6fbd-4198-9465-cebd6594dfe3,b0308079-6891-43e2-8363-81ef193281b9,savings,JPY
0d4bbb60-1458-43c9-9dfd-367dc3f3abbd,c8be2d2b-ac90-4d57-bf1a-2ac06960bcbd,checking,JPY
dcf97be6-d3ff-43a5-b176-3a39ba24fe01,c8be2d2b-ac90-4d57-bf1a-2ac06960bcbd,investment,GBP
c7b5431c-5fdd-4db4-a69d-d507a50dfea8,ef8202b4-451f-488c-b74a-f66061441d01,savings,EUR
abcec248-7b5c-4785-b4dc-fc7038a99766,ef8202b4-451f-488c-b74a-f66061441d01,savings,GBP
09902b20-cc5d-4bf8-9949-04984398c23e,79644c61-856a-4574-9044-291a9832926a,savings,EUR
24c9a874-280b-4d3e-9c38-af28dda549b2,79644c61-856a-4574-9044-291a9832926a,checking,USD
ab14bfc7-bf76-4586-b577-88d24ca6d9e7,79644c61-856a-4574-9044-291a9832926a,investment,GBP
2e6b5a27-9107-4079-abf1-e12349ef96ab,b8d59f07-c54b-4ac5-a13b-7d9a14cf7b47,investment,USD
5d7b2b08-bfeb-49b0-a70d-2422e7f1eb20,b8d59f07-c54b-4ac5-a13b-7d9a14cf7b47,savings,EUR
dada52c3-5aa4-4be0-b064-0b273e68e730,e4d1d92b-f68b-45f6-ae69-c1ba54fc9cd6,savings,EUR
495d1268-d313-4b57-8afe-70400f8050b2,673bead8-c7ea-457a-ab93-987f4fb9ec56,savings,USD
