event_id,logical_tx_id,processor_reference,src_account_id,dest_account_id,merchant_id,amount,fee_amount,currency,tx_type,event_status,event_time,ingested_at
8c4ea919-e863-4de9-99df-06c20bd0a31f,00064231-8454-409d-a83f-b8ff1c87452e,000642318454-pending,6ef3be6a-3805-493d-8b08-49bb5836b470,\N,15607204-717c-4e38-b4f2-d93b77cab49d,163.16,0.0,USD,card_purchase,pending,2025-11-20 22:51:00,2025-11-20 22:51:22
c25a246a-cff7-4650-a9fc-05dd17efaa17,00064231-8454-409d-a83f-b8ff1c87452e,000642318454-settled,6ef3be6a-3805-493d-8b08-49bb5836b470,\N,15607204-717c-4e38-b4f2-d93b77cab49d,163.16,2.94,USD,card_purchase,settled,2025-11-21 02:17:00,2025-11-21 02:21:19
0c0baf57-27ac-4587-9e9d-aa24fd6f19eb,000c0298-8b48-4bda-bd1f-5d73e37cb689,000c02988b48-pending,9bc5e10a-4dbf-4f52-b224-7a3249fddc28,\N,eda46be5-70cd-4ff6-8c91-58aab894341c,14.0,0.0,USD,card_refund,pending,2025-07-24 13:18:00,2025-07-24 13:18:12
2cd21725-2a82-4ed0-8cb8-9f3d9d8ddfcd,000c0298-8b48-4bda-bd1f-5d73e37cb689,000c02988b48-declined,9bc5e10a-4dbf-4f52-b224-7a3249fddc28,\N,eda46be5-70cd-4ff6-8c91-58aab894341c,14.0,0.0,USD,card_refund,declined,2025-07-24 18:37:00,2025-07-24 18:39:09
e47e4bcd-a736-44d9-bcba-68de9df1a192,000fd4a7-b8b4-456d-856f-942aa3d12070,000fd4a7b8b4-pending,1a95f20b-d747-48aa-8565-ac05054cdd35,\N,\N,781.87,0.0,USD,cash_out,pending,2024-12-26 06:04:00,2024-12-26 06:09:35
ffd62886-7cf6-499b-852d-77c17c919680,000fd4a7-b8b4-456d-856f-942aa3d12070,000fd4a7b8b4-settled,1a95f20b-d747-48aa-8565-ac05054cdd35,\N,\N,781.87,9.38,USD,cash_out,settled,2024-12-26 09:01:00,2024-12-26 09:07:26
0c7c0ee8-78a0-4ace-81f4-f11843a38f3e,0033e34b-25be-4ce3-b410-2cb446fd0b5c,0033e34b25be-pending,57746f57-2043-4b91-9a84-0412e117f358,\N,57abebde-525f-4cd0-9ed3-c11cad90f991,248.05,0.0,USD,card_purchase,pending,2025-08-13 15:26:00,2025-08-13 15:29:56
b615042f-9579-4f94-8883-9d8411e0fd32,0033e34b-25be-4ce3-b410-2cb446fd0b5c,0033e34b25be-settled,57746f57-2043-4b91-9a84-0412e117f358,\N,57abebde-525f-4cd0-9ed3-c11cad90f991,248.05,4.46,USD,card_purchase,settled,2025-08-13 15:37:00,2025-08-13 15:44:10
c3ff7737-32b2-41bc-8ad6-0d40c794bf33,0036fd45-023d-4b02-b914-d40eb770fde2,0036fd45023d-pending,e044a5f1-7c48-4d94-bad8-e2626fb34dd9,\N,3bf9e4ea-ec2f-422f-87df-6ea610fc2df2,126.14,0.0,USD,card_purchase,pending,2025-01-03 03:15:00,2025-01-03 03:16:27
76c23540-725d-427b-becc-dd7c0b08191f,0036fd45-023d-4b02-b914-d40eb770fde2,0036fd45023d-settled,e044a5f1-7c48-4d94-bad8-e2626fb34dd9,\N,3bf9e4ea-ec2f-422f-87df-6ea610fc2df2,126.14,2.27,USD,card_purchase,settled,2025-01-03 07:57:00,2025-01-03 07:57:27
ba64db88-b88d-4451-a212-54ed1774f276,003a6b0f-c511-450f-a4b2-968c2d80c0e8,003a6b0fc511-pending,0331a3fd-937b-4ee1-9662-18d525311eac,b0a8a328-adcd-4aa0-aa2d-3d6f6ffe66cf,\N,1109.19,0.0,USD,transfer,pending,2025-05-08 20:02:00,2025-05-08 20:03:54
343f6796-a3f2-4298-ac65-7c8e69530583,003a6b0f-c511-450f-a4b2-968c2d80c0e8,003a6b0fc511-settled,0331a3fd-937b-4ee1-9662-18d525311eac,b0a8a328-adcd-4aa0-aa2d-3d6f6ffe66cf,\N,1109.19,4.44,USD,transfer,settled,2025-05-08 23:47:00,2025-05-08 23:54:28
93d54604-0e6c-4075-810b-356acb826fbd,003bf493-077f-4023-8d98-c71b92d4844e,003bf493077f-pending,fa1df4f5-8e8e-4595-a17e-db91ff0ff36e,\N,252502b6-59a2-4044-a481-91a1cb17d5d3,214.48,0.0,USD,card_purchase,pending,2025-04-02 16:27:00,2025-04-02 16:33:55
8ad22c86-0c46-4fc3-929c-466ad8d78998,003bf493-077f-4023-8d98-c71b92d4844e,003bf493077f-declined,fa1df4f5-8e8e-4595-a17e-db91ff0ff36e,\N,252502b6-59a2-4044-a481-91a1cb17d5d3,214.48,0.0,USD,card_purchase,declined,2025-04-02 22:27:00,2025-04-02 22:28:46
97ceee1e-6c7c-4487-8b9b-44ec7d238840,003e024b-a45b-423c-adbc-681f9f77a585,003e024ba45b-pending,3f9d3658-c845-4eef-a931-13678efa7307,ad6dcd5b-0f70-47c1-ac8e-8af2c85439a1,\N,1200.16,0.0,USD,transfer,pending,2025-05-19 16:59:00,2025-05-19 17:04:13
3e1e33f0-0e17-46b7-9337-5e4fc5f9a00d,003e024b-a45b-423c-adbc-681f9f77a585,003e024ba45b-settled,3f9d3658-c845-4eef-a931-13678efa7307,ad6dcd5b-0f70-47c1-ac8e-8af2c85439a1,\N,1200.16,4.8,USD,transfer,settled,2025-05-19 21:02:00,2025-05-19 21:03:30
9b5e7373-ac59-4196-82e3-504dac6b87b8,003e5df4-411c-4e9c-9dba-a171fc212f3a,003e5df4411c-pending,2ea848ef-f6bf-4bcd-bd55-fe0d2d4c0973,\N,3470b6eb-6e47-46a8-beef-1029c663ac7e,49.09,0.0,USD,card_purchase,pending,2024-05-21 12:12:00,2024-05-21 12:12:56
a6a8a0a1-3677-4b9b-8778-c9e0a23e5e12,003e5df4-411c-4e9c-9dba-a171fc212f3a,003e5df4411c-settled,2ea848ef-f6bf-4bcd-bd55-fe0d2d4c0973,\N,3470b6eb-6e47-46a8-beef-1029c663ac7e,49.09,0.88,USD,card_purchase,settled,2024-05-21 14:36:00,2024-05-21 14:44:37
5c74ec56-b1b5-4865-9b41-dc834c08c59b,0044819f-7805-40c0-b8cf-04c8b8299596,0044819f7805-pending,ad7e4577-5ed7-4b22-be07-1c43b9a0779c,\N,15047727-18d1-4b87-a8c0-51c376d29172,32.21,0.0,USD,card_purchase,pending,2024-08-06 06:59:00,2024-08-06 07:06:54
c36ff430-fa37-4c30-b446-aad3debf3e51,0044819f-7805-40c0-b8cf-04c8b8299596,0044819f7805-settled,ad7e4577-5ed7-4b22-be07-1c43b9a0779c,\N,15047727-18d1-4b87-a8c0-51c376d29172,32.21,0.58,USD,card_purchase,settled,2024-08-06 09:13:00,2024-08-06 09:14:17
09677611-fae9-482f-a3ed-c338b159a334,00551718-a126-49e6-b916-70c10311c8e8,00551718a126-pending,d16b8230-6c3c-4cda-874c-b43ca865962e,03dddf08-70c5-4662-abf8-67b5bde457eb,\N,689.43,0.0,USD,transfer,pending,2025-01-20 03:49:00,2025-01-20 03:57:07
